letter,ratio
a,11.92
e,8.912
i̇,8.6
r,6.722
l,5.922
ı,5.114
d,4.706
k,4.683
n,4.487
m,3.752
y,3.336
u,3.235
s,3.014
t,3.014
b,2.844
o,2.476
ü,1.854
ş,1.78
z,1.5
g,1.253
h,1.212
ç,1.156
ğ,1.125
c,0.963
v,0.959
p,0.886
ö,0.777
f,0.461
j,0.034
